Period,Return on Assets
2022-12-31,16.9646
2022-09-30,21.2883
2022-06-30,20.5543
2022-03-31,19.6079
2021-12-31,19.6077
2021-09-30,19.0488
2021-06-30,20.9733
2021-03-31,22.2658
2020-12-31,21.2561
2020-09-30,20.8701
2020-06-30,18.9521
2020-03-31,14.5511
2019-12-31,12.6738
2019-09-30,11.0254
2019-06-30,10.5204
2019-03-31,11.2836
2018-12-31,9.9990
2018-09-30,9.0546
2018-06-30,9.1033
2018-03-31,8.6662
2017-12-31,8.6956
2017-09-30,7.9203
2017-06-30,10.9201
2017-03-31,7.8431
2016-12-31,6.3397
2016-09-30,3.4884
2016-06-30,-1.4740
2016-03-31,1.0923
2015-12-31,1.5962
2015-09-30,2.9212
2015-06-30,4.6555
2015-03-31,3.1653
2014-12-31,1.6039
2014-09-30,-0.6947
2014-06-30,-2.9365
2014-03-31,-1.5353
2013-12-31,0.1329
2013-09-30,2.7574
2013-06-30,2.3845
2013-03-31,0.5369
2012-12-31,1.3416
2012-09-30,-0.0206
2012-06-30,-2.5247
2012-03-31,-2.9706
2011-12-31,-1.4071
2011-09-30,0.4121
2011-06-30,5.0031
2011-03-31,5.1650
2010-12-31,5.4851
2010-09-30,9.6059
2010-06-30,9.8505
2010-03-31,13.5475
2009-12-31,15.1495
2009-09-30,11.8347
2009-06-30,12.4260
2009-03-31,15.5912
2008-12-31,15.4274
